DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,MONTO_OTORGADO_$,FINANCIAMIENTO_INMUEBLE,Plazo_MESES
Construcción de vivienda,F,963.00,36.40,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,F,948.00,39.79,Clase social,30,"48,148.00",100%,365
Construcción de vivienda,F,921.00,54.20,Clase media,30,"64,815.00",97%,360
Compra de vivienda,F,"1,222.00",22.91,Clase social,30,"31,481.00",70%,240
Construcción de vivienda,F,"1,019.00",49.80,Clase media,30,"45,185.00",90%,360
Construcción de vivienda,M,809.00,48.14,Clase media,30,"54,963.00",90%,360
Construcción de vivienda,F,"1,259.00",35.57,Clase social,30,"31,101.00",92%,360
Construcción de vivienda,M,"1,823.00",41.17,Clase social,30,"32,333.00",97%,360
Construcción de vivienda,F,744.00,53.83,Clase social,30,"27,407.00",93%,360
Construcción de vivienda,F,774.00,38.00,Clase social,30,"32,333.00",97%,360
Construcción de vivienda,M,"1,717.00",30.86,Clase social,30,"32,019.00",95%,240
Construcción de vivienda,M,"1,541.00",28.89,Clase social,30,"26,530.00",95%,240
Construcción de vivienda,F,"1,066.00",35.74,Clase social,30,"32,019.00",95%,360
Construcción de vivienda,F,"2,056.00",35.67,Clase social,30,"32,019.00",95%,360
Construcción de vivienda,F,"1,066.00",44.66,Clase social,30,"32,333.00",97%,360
Construcción de vivienda,F,606.00,36.44,Clase social,30,"33,411.00",97%,240
Construcción de vivienda,M,902.00,48.43,Clase social,30,"32,333.00",97%,360
Compra de vivienda,M,"1,395.00",36.38,Clase media,30,"34,817.00",90%,360
Compra de vivienda,M,"2,414.00",44.08,Clase social,30,"32,019.00",95%,240
Compra de vivienda,M,"2,289.00",33.79,Clase social,30,"32,019.00",95%,360
Compra de vivienda,M,817.00,48.08,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,F,"1,923.00",31.70,Clase social,30,"34,130.00",97%,360
Compra de vivienda,M,"1,507.00",38.85,Clase media,30,"40,741.00",56%,360
Construcción de vivienda,M,636.00,29.06,Clase social,30,"32,333.00",97%,360
Construcción de vivienda,M,"2,778.00",44.56,Clase media,30,"148,148.00",98%,360
Construcción de vivienda,F,"1,995.00",50.98,Clase social,30,"25,926.00",85%,264
Construcción de vivienda,M,"2,109.00",35.64,Clase social,30,"25,926.00",85%,240
Construcción de vivienda,F,"1,963.00",52.93,Clase social,30,"25,926.00",85%,264
Construcción de vivienda,F,573.00,54.97,Clase social,30,"25,926.00",85%,240
Construcción de vivienda,M,832.00,30.26,Clase social,30,"25,926.00",85%,240
Construcción de vivienda,M,"2,277.00",29.65,Clase social,30,"32,019.00",95%,360
Construcción de vivienda,M,"2,231.00",40.56,Clase social,30,"32,019.00",95%,240
Construcción de vivienda,M,"1,205.00",40.06,Clase media,30,"48,148.00",100%,360
Construcción de vivienda,F,"1,111.00",45.73,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,F,852.00,33.46,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,M,"1,296.00",53.50,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,M,"2,170.00",46.80,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,F,"1,111.00",42.40,Clase social,30,"48,148.00",51%,264
Construcción de vivienda,M,"1,408.00",33.25,Clase social,30,"48,148.00",69%,360
Construcción de vivienda,M,"1,025.00",48.34,Clase social,30,"47,037.00",97%,360
Compra de vivienda,F,"1,252.00",42.25,Clase social,30,"48,148.00",91%,360
Compra de vivienda,F,"3,468.00",23.37,Clase media,30,"110,546.00",82%,306
Compra de vivienda,M,"2,851.00",35.64,Clase media,30,"127,723.00",65%,360
Compra de vivienda,F,"1,260.00",46.90,Clase media,30,"61,481.00",47%,360
Compra de vivienda,F,"1,037.00",25.89,Clase social,30,"48,148.00",59%,336
Compra de vivienda,F,"1,647.00",35.52,Clase media,30,"85,351.00",52%,360
Compra de vivienda,F,"2,125.00",29.80,Clase social,31,"31,667.00",94%,360
Construcción de vivienda,M,926.00,28.10,Clase social,31,"48,148.00",100%,360
Construcción de vivienda,F,"1,366.00",34.48,Clase social,31,"34,130.00",97%,360
Construcción de vivienda,F,"1,376.00",68.48,Clase media,31,"85,185.00",100%,360
Construcción de vivienda,M,902.00,51.79,Clase social,31,"48,148.00",100%,360
Construcción de vivienda,F,"1,906.00",43.78,Clase media,31,"86,860.00",100%,360
Construcción de vivienda,M,"1,227.00",46.32,Clase social,31,"48,148.00",100%,360
Construcción de vivienda,F,"1,787.00",52.66,Clase social,31,"32,333.00",97%,360
Construcción de vivienda,F,"2,018.00",34.95,Clase social,31,"32,333.00",97%,360
Construcción de vivienda,M,"1,876.00",33.79,Clase social,31,"30,741.00",97%,360
Construcción de vivienda,M,"1,076.00",40.46,Clase media,31,"93,181.00",90%,360
Construcción de vivienda,F,"1,573.00",38.87,Clase social,31,"32,222.00",96%,360
Construcción de vivienda,M,840.00,41.89,Clase social,31,"31,667.00",95%,360
Construcción de vivienda,M,"1,037.00",97.47,Clase media,31,"63,935.00",94%,360
Construcción de vivienda,F,857.00,47.85,Clase social,31,"32,693.00",97%,360
Construcción de vivienda,F,791.00,38.00,Clase social,31,"29,667.00",90%,240
Construcción de vivienda,M,"1,254.00",30.08,Clase media,31,"39,000.00",128%,360
Construcción de vivienda,M,"1,105.00",30.54,Clase social,31,"31,596.00",94%,360
Construcción de vivienda,M,"1,855.00",29.44,Clase media,31,"28,889.00",52%,360
Construcción de vivienda,M,882.00,49.14,Clase social,31,"25,926.00",85%,240
Construcción de vivienda,M,"1,928.00",36.34,Clase social,31,"25,926.00",85%,240
Construcción de vivienda,M,"1,434.00",42.67,Clase social,31,"25,926.00",85%,360
Construcción de vivienda,F,"2,022.00",46.56,Clase social,31,"32,693.00",97%,360
Construcción de vivienda,F,"2,453.00",39.53,Clase social,31,"32,693.00",97%,360
Compra de vivienda,F,"1,481.00",29.51,Clase media,31,"57,593.00",94%,360
Construcción de vivienda,M,"1,260.00",44.90,Clase media,31,"61,481.00",100%,360
Construcción de vivienda,F,"1,313.00",40.11,Clase social,31,"30,556.00",97%,360
Construcción de vivienda,M,748.00,41.24,Clase social,31,"27,963.00",83%,360
Construcción de vivienda,F,"1,745.00",54.36,Clase social,31,"48,148.00",100%,360
Construcción de vivienda,F,847.00,47.35,Clase social,31,"43,253.00",55%,360
Construcción de vivienda,M,"1,058.00",37.61,Clase social,31,"48,148.00",58%,304
